"Zone","Indiv","X2007","X2008","X2009","X2010","X2011","X2012"
2,373,5.1,5.1,4.8,8.7,6.3,3.2
2,379,8.1,13.3,8.6,4.9,5.9,6.3
2,383,9.3,8.5,11.7,7.9,8,6.3
2,389,15,10.3,6.8,6.9,5.9,7.6
2,390,3.5,6.2,4.7,3.8,3.5,3
2,395,6.1,5.6,4.4,4.5,4.5,7.6
2,396,7.2,5.9,5.7,5.4,5.5,4.7
2,408,6.1,8.1,7.6,6.2,9.6,10.1
2,412,4.6,6.7,4.5,2.8,4.2,5.2
2,421,7.2,5.8,5.8,5.6,4.3,3.4
2,425,6.4,8.1,7.8,6.2,6.4,7.9
2,429,8.9,11.2,8.6,8.4,8.2,6.6
2,431,3.5,5.9,5.4,4.9,3.5,4.9
2,442,5.3,9.9,9.2,6.4,5.5,5
2,444,8.7,5.6,5.9,5.2,6.6,7.4
3,447,8.3,6.5,8.1,7,7.6,8.3
3,458,5.4,8.6,6.1,5.4,7.2,9.4
3,464,9.2,9.7,7.8,5.8,7.2,6.2
3,486,9.1,6.7,6.8,6.1,8.4,7.9
3,512,9,10.8,7.1,5.8,8.3,6.7
3,530,9.2,11.4,4.5,3.6,6.9,5.7
3,534,7.4,6.8,7.9,3.7,5.5,6.7
3,538,8.9,12.5,10.5,6.3,7.3,7.4
3,542,5.3,6,5.8,8.6,6.4,7.9
3,549,4.5,5.6,5.8,4.4,7.4,4.9
3,569,4.2,6.3,6.2,6.3,6.4,6.4
3,572,7.1,10.1,10,10.1,9.8,13.1
3,577,6.8,12.1,11.1,8.6,6.1,8.2
3,581,6,6.9,6.3,3.7,5.6,5.3
3,584,5.6,6.6,5.9,4.8,6,6.1
3,597,8.9,7.9,6.4,7.1,8,9.4
3,616,9.7,10.8,8.8,6.4,9.5,8
3,647,8.1,6.9,6.9,4,7.2,7.3
3,660,6.7,5.4,6,4.9,6.8,6.4
4,591,6.5,10.9,7.8,6.1,11,5
4,595,9.8,9.2,8,6.7,10.2,10.5
4,603,2.5,3.8,3.2,2.3,3.2,5.4
4,612,5.4,6.5,8,5.7,4.2,6.6
4,618,6.1,7.5,6.1,4.2,5.4,5.5
4,619,8.4,10.5,6.9,5.2,11.1,7.4
4,623,5.4,7.5,4.4,3.4,5.2,6.8
4,632,7.3,7.3,6.9,6.3,6.9,6.6
4,641,7.1,13.2,9.5,6,7.6,6.7
4,645,8,11.5,7.2,8.5,9.7,9.9
4,646,11.5,7,4.1,5.2,7.8,6.8
4,648,10.7,9.2,6.9,5.5,8.8,9.2
4,654,9.5,10.4,8.9,8.6,11.1,10.2
4,657,6.6,14,10.1,6.6,9.7,6.2
4,661,8.2,8.9,6.1,5.7,11.2,8.7
4,663,5.7,10.6,9.5,6.9,8.3,7.8
4,677,6,8.6,6.1,7,7.2,7.8
4,678,3.6,3.7,8.2,4.4,4.6,7.9
4,682,5,6.8,8.7,5.1,5.6,6
5,1,6.5,7.7,5.6,6.8,6.5,9.5
5,37,7.3,7.3,7.7,5.6,7.2,7.7
5,38,5.4,5.8,4.9,3.5,3.4,6
5,41,2,4.7,4.2,3.3,6.3,7.7
5,49,5.8,4.4,7.9,6.7,8.2,6.1
5,64,7.5,7.4,6.6,5.4,6.8,7.8
5,71,4.3,4.7,3.9,3.7,3.9,5.3
5,72,7,9.5,5.9,6.6,4.9,4.3
5,85,5,5.6,5.4,8.6,6.5,6.8
5,88,6.6,7.5,5.3,5.2,5.8,5.7
5,101,3.4,5.6,3.5,2.8,7.5,8
5,114,5.4,5.4,4.3,4.6,4.6,5.7
5,120,6.3,6.3,6,5.2,6.2,5
5,126,7.7,6.5,7.4,5.7,7.2,7.1
5,145,4.4,4.7,4.4,3.3,3.1,4.5
5,150,6,3.1,5.7,3.9,5.8,7
5,155,4.9,5.1,4.8,7.3,6.1,6.3
5,166,7.4,5.9,8.1,6.5,6,8
5,177,7.3,5,5.2,4,4.3,3
5,206,5,4.4,4,3.2,4.5,3.8
6,129,8.1,6.7,6.3,6,7,6.5
6,257,9.9,8.4,8.6,6.8,7.7,7
6,276,4.1,6.2,5.5,4.8,5.8,5.7
6,303,7.1,6.9,7,6.4,5.7,6.7
6,322,6.6,6.9,6.5,4.9,5.1,6.5
6,349,9.6,9.8,8.9,8.5,8.7,6.1
6,350,4.6,10.3,6.5,4,5.6,3.1
6,355,6.7,5.5,7,4.8,6,6.2
6,370,6.9,7.6,5.1,5.4,6.2,6.8
6,454,8.4,9.7,7.2,7.6,7.1,7.2
6,725,4.7,3.7,3.4,1.9,3.2,3.7
6,766,6.3,6.7,5.3,4.9,5.2,7.3
6,812,9.9,8.7,8,8.5,7,7.4
6,817,7.4,8.6,8,6.6,6.9,7.7
6,844,4.8,4.7,3.4,3.2,4.5,3.6
6,863,3.5,3.3,4.1,3.3,6.1,4.9
6,868,6.4,6.9,5.5,4.5,6.1,6.2
6,896,7.2,7.9,7.5,4.9,7.5,7.1
6,899,2.9,6,3,2.8,6.4,3.1
6,901,4.3,4.5,4.1,4.2,5,4.9
6,917,6.4,8.9,7,6.3,6.5,5.3
7,924,8.1,7.8,7.1,6.8,7,6.6
7,963,6.8,7.2,3.7,3.5,4,4.5
7,970,6.2,5.2,5.9,6.2,7.7,6.3
7,977,5.5,5.3,6.4,5.7,7.7,7.9
7,979,6.6,6.3,6.3,7.7,6.6,7.1
7,1000,4.3,5.5,3.6,3.1,6.7,5.8
7,1069,6.2,3.9,4.1,3.8,5.3,7.2
7,1073,7.3,6.3,5.3,6.7,6,8.7
7,1087,5.9,6.7,7.4,5.1,5.3,6.2
7,1109,4.5,4.3,3.4,4.3,2.9,2.4
7,1140,4.7,3.9,5.5,5.2,5.7,3.9
7,1183,7.2,9.3,6.7,7.8,8.3,7.7
7,1188,9.4,8.9,7,6.9,9.5,7.8
7,1247,5.5,5,4.2,3.9,6,4.8
7,1286,7.1,9.5,7.7,5.6,8,8.2
7,1340,7.1,5.7,7.2,6.9,7.3,8.4
7,1358,9,10,8.6,8.5,8.3,8.3
7,1392,3.9,4.7,2.9,3.9,3.8,4.8
7,1477,5.3,5.9,6.2,4.2,5.5,6.1
7,1481,5.4,6.7,6,6,7.2,7
